station,distance_km,azimuth_deg,takeoff_deg,polarity,predicted_polarity,amplitude_sign_value,fit
YM08,71.9,324.0,119.0,+,+,0.12598467547192543,True
ZUZH,72.5,319.0,119.0,+,+,0.17310936518565018,True
ETLH,73.1,234.0,115.0,+,+,0.9364553255620623,True
ANP,75.2,320.0,118.0,+,+,0.14781473341976703,True
TWD,76.0,224.0,99.0,+,+,0.706446332996146,True
TWS1,76.5,318.0,110.0,+,+,0.02493092654372525,True
B011,76.9,293.0,122.0,+,+,0.5593701441826514,True
TWY,78.7,329.0,113.0,+,+,0.0016611433805120979,True
NTS,79.2,321.0,113.0,+,+,0.05548401258679647,True
NTY,80.9,299.0,125.0,+,+,0.5086778854097391,True
KSHI,85.1,273.0,116.0,+,+,0.7674472996743523,True
HWA,85.7,197.0,101.0,+,+,0.2974878719984902,True
HWLB,85.8,197.0,101.0,+,+,0.2974878719984902,True
NCU,89.6,292.0,103.0,+,+,0.19673664100997368,True
FUSS,89.8,234.0,116.0,+,+,0.9404085215129692,True
NCUH,89.8,292.0,102.0,+,+,0.17079375835710922,True
NFF,90.0,273.0,115.0,+,+,0.7530286876557959,True
GWUB,92.1,266.0,112.0,+,+,0.7971267191690417,True
ETM,92.9,214.0,95.0,+,+,0.5487403089195939,True
NJD,93.3,275.0,98.0,+,+,0.3514261269614023,True
EYL,93.4,197.0,103.0,+,+,0.30238932750536646,True
WHF,93.9,227.0,115.0,+,+,0.8737960335264757,True
TWT,96.9,234.0,106.0,+,+,0.8618188822152223,True
TDCB,97.1,234.0,106.0,+,+,0.8618188822152223,True
LIOB,100.3,268.0,94.0,+,+,0.3561326295084648,True
NST,101.1,267.0,94.0,+,+,0.37214218471240673,True
SBCB,104.4,277.0,94.0,+,+,0.20427923013203278,True
SHUL,106.7,198.0,104.0,+,+,0.32653885531562254,True
ESL,110.0,219.0,101.0,+,+,0.6794352205078595,True
H176,110.1,269.0,95.0,+,+,0.3681312874769583,True
OWD,114.9,219.0,100.0,+,+,0.6684261118018424,True
WHP,115.6,247.0,90.0,+,+,0.5155779948887196,True
WUSB,116.7,230.0,99.0,+,+,0.7456020072731842,True
NML,120.1,273.0,97.0,+,+,0.35768641152380115,True
F033,120.4,206.0,87.0,+,+,0.3533136802426852,True
WARB,121.9,219.0,100.0,+,+,0.6684261118018424,True
NMLH,123.9,263.0,87.0,+,+,0.2310953223264024,True
EGFH,124.5,217.0,96.0,+,+,0.5969944489003791,True
JIGB,127.8,227.0,105.0,+,+,0.8055808980369294,True
NSY,128.3,256.0,84.0,+,+,0.24458708595324466,True
WPL,128.4,228.0,99.0,+,+,0.7350943657864654,True
TWQ1,129.0,254.0,87.0,+,+,0.3585151782148104,True
WCS,129.6,247.0,91.0,+,+,0.5415834437801261,True
DPDB,129.7,250.0,87.0,+,+,0.4051124990952108,True
SML,140.9,231.0,97.0,+,+,0.7161859059610751,True
HGSD,142.3,213.0,93.0,+,+,0.5118501961034546,True
TYC,142.5,227.0,98.0,+,+,0.7137571398737821,True
SSLB,144.0,232.0,100.0,+,+,0.7697359454779882,True
EHY,145.3,208.0,92.0,+,+,0.43482114665377464,True
EHYH,145.6,208.0,92.0,+,+,0.43482114665377464,True
YULB,157.8,207.0,89.0,+,+,0.38851594536684186,True
WNT1,158.4,248.0,81.0,+,+,0.25602750984921263,True
WHY,158.5,235.0,89.0,+,+,0.5551088014431773,True
WNT,159.1,247.0,79.0,+,+,0.20942559014478895,True
ECB,159.2,211.0,85.0,+,+,0.38150771630493263,True
EYUL,161.3,205.0,88.0,+,+,0.35156331505428823,True
TWF1,161.6,206.0,89.0,+,+,0.3754212328093236,True
YUS,167.9,210.0,88.0,+,+,0.41256984224779325,True
ALS,176.0,233.0,80.0,+,+,0.3423023641440702,True
FULB,177.3,205.0,82.0,+,+,0.2833009383157232,True
WGK,181.5,243.0,78.0,+,+,0.22167142627337955,True
CHK,184.6,193.0,90.0,+,+,0.18232425306478356,True
WRL,185.4,251.0,83.0,+,+,0.2794813799799882,True
EHD,186.1,206.0,88.0,+,+,0.3645222756203099,True
RLNB,187.7,242.0,86.0,+,+,0.44897636897874493,True
ECS,190.9,205.0,84.0,+,+,0.3070844141983291,True
ELD,191.2,205.0,92.0,+,+,0.39121196623439086,True
WCKO,196.5,233.0,85.0,+,+,0.46514535663683,True
EDH,200.1,201.0,81.0,+,+,0.23095705410926312,True
CHN4,204.0,235.0,78.0,+,+,0.2816794017664182,True
TPUB,205.6,233.0,75.0,+,+,0.2153621508708229,True
STYH,205.9,208.0,83.0,+,+,0.325323135838778,True
STY,208.6,208.0,83.0,+,+,0.325323135838778,True
WTP,210.7,231.0,75.0,+,+,0.22540586453306455,True
LONT,213.7,198.0,88.0,+,+,0.25214393415720104,True
CHN1,222.0,234.0,75.0,+,+,0.20963493972419284,True
TWGB,224.8,198.0,88.0,+,+,0.25214393415720104,True
TWG,224.8,198.0,88.0,+,+,0.25214393415720104,True
SGS,226.6,229.0,74.0,+,+,0.20930005615770753,True
ICHU,227.1,228.0,73.0,+,+,0.1890928413569854,True
SLG,230.7,208.0,83.0,+,+,0.325323135838778,True
SSH,243.0,235.0,74.0,+,+,0.1773255822632258,True
SHH,247.9,232.0,73.0,+,+,0.17015955825553836,True
SCS,249.7,228.0,72.0,+,+,0.16518928913247938,True
TAI1,254.4,234.0,72.0,+,+,0.13225042134507758,True
SMG,257.1,213.0,66.0,+,+,0.0743541434477692,True
VWUC,261.7,278.0,80.0,-,-,-0.23027866041631434,True
SGL,263.8,217.0,71.0,+,+,0.16553758345869324,True
D009,266.2,232.0,75.0,+,+,0.22061970750433663,True
MATB,266.3,309.0,80.0,-,-,-0.6013064427035908,True
MASB,266.6,213.0,67.0,+,+,0.09186605570487355,True
SPT,268.2,215.0,66.0,+,+,0.07205865118578969,True
KAUH,274.6,230.0,74.0,+,+,0.20512262107995893,True
PHUB,277.7,240.0,75.0,-,+,0.16558952964458817,False
TAWH,281.1,200.0,90.0,+,+,0.29733133389165556,True
SSP,282.1,211.0,68.0,+,+,0.10865765766895591,True
D106,284.0,218.0,68.0,+,+,0.10561868985410366,True
WSS,285.6,217.0,68.0,+,+,0.10708172683319878,True
SCZ,289.9,209.0,67.0,+,+,0.09095687489245377,True
LYUB,293.7,184.0,86.0,+,+,0.02914139656757888,True
LAY,294.1,183.0,86.0,+,+,0.014075356407200534,True
PTMZ,295.6,277.0,76.0,-,-,-0.3297380157112254,True
SLIU,297.3,206.0,67.0,+,+,0.08730860628707551,True
WLCH,304.8,214.0,67.0,+,+,0.09132471774477019,True
LYJJ,308.3,314.0,77.0,-,-,-0.6769997367821141,True
XPSS,310.8,325.0,79.0,-,-,-0.6122789033498567,True
SMS,315.7,203.0,73.0,+,+,0.15656225633003995,True
TWKB,324.8,202.0,76.0,+,+,0.18584238222654742,True
SEB,327.4,201.0,78.0,+,+,0.1997861505717073,True
JMJ,333.9,98.0,80.0,-,+,0.35436942618908723,False
MHZQ,340.0,299.0,74.0,-,-,-0.6691357787524208,True
EOSA,354.3,208.0,71.0,+,+,0.15078922749322282,True
AXDP,410.4,271.0,70.0,-,-,-0.39976773936590476,True
ZPLA,440.5,254.0,70.0,-,-,-0.13913607816702872,True
DSXP,477.8,251.0,70.0,-,-,-0.09793255395188943,True
SXFK,480.3,295.0,69.0,-,-,-0.7413579326981267,True
JOW,674.2,73.0,70.0,+,+,0.8901699270338342,True
